---- ma-dtg: proto/simple.proto ----
1 1 1 3 1
1 1 1 6 1
1 1 1 3 0
1 1 0 3 1
1 0 1 3 1
1 1 1 6 0
1 1 0 6 1
1 0 1 6 1
0 1 1 2 0
1 1 0 6 0
1 0 1 6 0
0 1 1 2 1
4 1 1 4 0
0 1 0 2 0
0 0 1 2 0
1 1 0 3 0
1 0 0 3 1
1 0 1 3 0
4 1 1 4 1
0 1 0 2 1
0 0 1 2 1
4 1 0 4 0
3 0 1 4 0
3 0 1 4 1
2 0 1 0 0
3 0 0 4 0
0 0 0 2 0
1 0 0 6 0
1 0 0 6 1
1 0 0 3 0
2 0 1 0 1
3 0 0 4 1
2 0 0 0 0
2 1 1 0 0
2 0 0 0 1
2 0 0 5 0
2 1 0 0 0
4 1 0 4 1
0 0 0 2 1
2 0 0 5 1
2 1 0 0 1
2 0 1 5 0
2 1 0 5 0
2 0 1 5 1
0 0 1 1 0
2 1 1 5 0
3 1 1 3 1
3 1 1 6 1
3 1 1 3 0
3 1 0 3 1
3 0 1 3 1
3 1 1 6 0
3 1 0 6 1
3 0 1 6 1
6 1 1 2 0
3 1 0 6 0
3 0 1 6 0
6 1 1 2 1
4 1 1 4 0
6 1 0 2 0
6 0 1 2 0
3 1 0 3 0
3 0 0 3 1
3 0 1 3 0
4 1 1 4 1
6 1 0 2 1
6 0 1 2 1
4 1 0 4 0
4 0 1 4 0
4 0 1 4 1
3 0 1 0 0
4 0 0 4 0
6 0 0 2 0
3 0 0 6 0
3 0 0 6 1
3 0 0 3 0
3 0 1 0 1
4 0 0 4 1
3 0 0 0 0
3 1 1 0 0
3 0 0 0 1
2 0 0 5 0
3 1 0 0 0
4 1 0 4 1
6 0 0 2 1
2 0 0 5 1
3 1 0 0 1
1 0 1 5 0
2 1 0 5 0
1 0 1 5 1
0 0 1 1 0
1 1 1 5 0
9 1 1 3 1
8 1 1 6 1
9 1 1 3 0
9 1 0 3 1
9 0 1 3 1
7 1 1 6 0
8 1 0 6 1
8 0 1 6 1
6 1 1 2 0
7 1 0 6 0
7 0 1 6 0
6 1 1 2 1
5 1 1 4 0
6 1 0 2 0
6 0 1 2 0
9 1 0 3 0
9 0 0 3 1
9 0 1 3 0
5 1 1 4 1
6 1 0 2 1
6 0 1 2 1
5 1 0 4 0
5 0 1 4 0
5 0 1 4 1
2 0 1 0 0
5 0 0 4 0
6 0 0 2 0
7 0 0 6 0
8 0 0 6 1
9 0 0 3 0
2 0 1 0 1
5 0 0 4 1
2 0 0 0 0
2 1 1 0 0
2 0 0 0 1
2 0 0 5 0
2 1 0 0 0
5 1 0 4 1
6 0 0 2 1
2 0 0 5 1
2 1 0 0 1
2 0 1 5 0
2 1 0 5 0
2 0 1 5 1
0 0 1 1 0
2 1 1 5 0
---- ma-dtg: proto/simple.proto END ----
---- ma-dtg: proto/depot-pfile1.proto ----
